date,S,vix,r,sentiment
2019-07-18,95.48856353759766,13.529999732971191,2.04,
2019-07-19,94.54759216308594,14.449999809265137,2.05,
2019-07-22,95.15546417236328,13.529999732971191,2.05,
2019-07-23,96.89588165283203,12.609999656677246,2.08,
2019-07-24,97.28726196289062,12.069999694824219,2.05,
2019-07-25,96.3546142578125,12.739999771118164,2.08,
2019-07-26,96.7793197631836,12.15999984741211,2.08,
2019-07-29,96.47117614746094,12.829999923706055,2.06,
2019-07-30,96.2546615600586,13.9399995803833,2.06,
2019-07-31,96.59609985351562,16.1200008392334,2.02,
2019-08-01,94.04793548583984,17.8700008392334,1.9,
2019-08-02,94.03962707519531,17.610000610351562,1.86,
2019-08-05,91.2416763305664,24.59000015258789,1.75,
2019-08-06,91.95780944824219,20.170000076293945,1.73,
2019-08-07,89.95928955078125,19.489999771118164,1.71,
2019-08-08,91.48314666748047,16.90999984741211,1.72,
2019-08-09,91.38320922851562,17.969999313354492,1.74,
2019-08-12,89.66783142089844,21.09000015258789,1.65,
2019-08-13,91.05012512207031,17.520000457763672,1.68,
2019-08-14,87.26957702636719,22.100000381469727,1.59,
2019-08-15,87.60266876220703,21.18000030517578,1.52,
2019-08-16,89.70111846923828,18.469999313354492,1.55,
2019-08-19,90.50885772705078,16.8799991607666,1.6,
2019-08-20,89.35970306396484,17.5,1.55,
2019-08-21,89.60955047607422,15.800000190734863,1.59,
2019-08-22,90.53387451171875,16.68000030517578,1.62,
2019-08-23,88.28549194335938,19.8700008392334,1.52,
2019-08-26,88.99331665039062,19.31999969482422,1.54,
2019-08-27,88.05233764648438,20.309999465942383,1.49,
2019-08-28,88.93502807617188,19.350000381469727,1.47,
2019-08-29,90.95021057128906,17.8799991607666,1.5,
2019-08-30,91.48314666748047,18.979999542236328,1.5,
2019-09-03,90.400634765625,19.65999984741211,1.47,
2019-09-04,91.49149322509766,17.329999923706055,1.47,
2019-09-05,93.57331848144531,16.270000457763672,1.57,
2019-09-06,93.7731704711914,15.0,1.55,
2019-09-09,96.09644317626953,15.270000457763672,1.63,
2019-09-10,97.32054138183594,15.199999809265137,1.72,
2019-09-11,97.58705139160156,14.609999656677246,1.75,
2019-09-12,98.18659210205078,14.220000267028809,1.79,
2019-09-13,100.11851501464844,13.739999771118164,1.9,
2019-09-16,99.22750091552734,14.670000076293945,1.84,
2019-09-17,98.73619842529297,14.4399995803833,1.81,
2019-09-18,99.72713470458984,13.949999809265137,1.8,
2019-09-19,99.41069793701172,14.050000190734863,1.79,
2019-09-20,99.01097869873047,15.319999694824219,1.74,
2019-09-23,98.99433898925781,14.90999984741211,1.72,
2019-09-24,97.70360565185547,17.049999237060547,1.64,
2019-09-25,98.26154327392578,15.960000038146973,1.73,
2019-09-26,97.45380401611328,16.06999969482422,1.7,
2019-09-27,98.02838134765625,17.219999313354492,1.69,
2019-09-30,98.00338745117188,16.239999771118164,1.68,
2019-10-01,96.22138977050781,18.559999465942383,1.65,
2019-10-02,94.30608367919922,20.559999465942383,1.6,
2019-10-03,94.17181396484375,19.1200008392334,1.54,
